battery_id,brand,model,supplier,delivery_date,capacity_ah,tested_voltage,internal_res_mohm,tested_capacity,soh_pct,current_site,action,remarks,date_fitted,last_moved_date,previous_site,status
Elecsol-110-001,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,12,7,93,,Recycled,Recycled,Leaking electrolyte,24/08/2021,15/03/2021,Bolthu Hill,Decommissioned
Elecsol-110-002,Elecsol,Carbon Fibre Monoblock,unknown,,110,,,96,36,Maidenhead,,,,15/03/2021,Gorteen,Active
Elecsol-110-003,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,11.83,,,67,Bagenalstown,Removed,,24/08/2021,,Gorteen,Active
Elecsol-110-004,Elecsol,Carbon Fibre Monoblock,unknown,,110,12.54,,103,,Stock,Stock,Tested faulty,,15/03/2021,,Active
Elecsol-110-005,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,12.26,5.7,,92,Gorteen,Keep,,,,Ballygunteen,Active
Elecsol-110-006,Elecsol,Carbon Fibre Monoblock,unknown,,110,12.65,,,40,Bagenalstown,,Leaking electrolyte,24/08/2021,15/03/2021,Ballygunteen,Active
Elecsol-110-007,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,12.05,,110,,Maidenhead,Keep,ok,24/08/2021,15/03/2021,,Active
Elecsol-110-008,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,,4.5,,65,Ballygunteen,,,24/08/2021,,,Active
Elecsol-110-009,Elecsol,Carbon Fibre Monoblock,unknown,,110,12.21,,104,92,Stock,Stock,Tested faulty,24/08/2021,15/03/2021,Maidenhead,Active
Elecsol-110-010,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,12.15,3.9,91,37,Ballinakill,,Tested faulty,24/08/2021,15/03/2021,Bolthu Hill,Active
Elecsol-110-011,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,12.49,6.7,,,Bagenalstown,Keep,,24/08/2021,15/03/2021,Bolthu Hill,Active
Elecsol-110-012,Elecsol,Carbon Fibre Monoblock,unknown,,110,,,97,,Recycled,Recycled,,,15/03/2021,Bolthu Hill,Decommissioned
Elecsol-110-013,Elecsol,Carbon Fibre Monoblock,unknown,,110,,7,96,78,Maidenhead,,,,15/03/2021,Ballinakill,Active
Elecsol-110-014,Elecsol,Carbon Fibre Monoblock,unknown,,110,12.04,,100,56,Ballygunteen,,,24/08/2021,,,Active
Elecsol-110-015,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,12.51,4.5,,,Ballygunteen,Removed,Leaking electrolyte,,,Ballygunteen,Active
Elecsol-110-016,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,,6.1,,44,Bolthu Hill,,,24/08/2021,15/03/2021,Ballinakill,Active
Elecsol-110-017,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,12.8,6.6,100,51,Stock,Stock,,24/08/2021,15/03/2021,,Active
Elecsol-110-018,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,12.67,8.5,101,,Gorteen,Keep,,24/08/2021,15/03/2021,,Active
Elecsol-110-019,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,,4.3,106,89,Bagenalstown,,ok,24/08/2021,15/03/2021,Gorteen,Active
Elecsol-110-020,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,12.73,4.6,107,56,Ballygunteen,,,,,,Active
Elecsol-110-021,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,11.87,5.8,,86,Ballinakill,,,24/08/2021,15/03/2021,Gorteen,Active
Elecsol-110-022,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,11.94,,,59,Bagenalstown,Removed,,24/08/2021,15/03/2021,,Active
Elecsol-110-023,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,12.71,6.5,107,60,Ballygunteen,,,24/08/2021,15/03/2021,,Active
Elecsol-110-024,Elecsol,Carbon Fibre Monoblock,unknown,,110,11.91,,,59,Bolthu Hill,Keep,ok,24/08/2021,,Bolthu Hill,Active
Elecsol-110-025,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,12.7,7.4,100,47,Ballinakill,,Tested faulty,24/08/2021,,Ballygunteen,Active
Elecsol-110-026,Elecsol,Carbon Fibre Monoblock,unknown,,110,12.72,,,53,Recycled,Recycled,Leaking electrolyte,24/08/2021,15/03/2021,,Decommissioned
Elecsol-110-027,Elecsol,Carbon Fibre Monoblock,unknown,,110,12.02,,96,,Gorteen,Keep,,,15/03/2021,Bolthu Hill,Active
Elecsol-110-028,Elecsol,Carbon Fibre Monoblock,unknown,,110,12.8,7.8,,99,Gorteen,Removed,,24/08/2021,15/03/2021,,Active
Elecsol-110-029,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,12.89,,,73,Bolthu Hill,,ok,24/08/2021,15/03/2021,Gorteen,Active
Elecsol-110-030,Elecsol,Carbon Fibre Monoblock,unknown,,110,12.06,6.3,,,Bagenalstown,,,24/08/2021,15/03/2021,Gorteen,Active
Elecsol-110-031,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,12.85,,95,91,Bagenalstown,,,24/08/2021,,Gorteen,Active
Elecsol-110-032,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,12.11,,97,71,Bolthu Hill,Removed,ok,24/08/2021,15/03/2021,,Active
Elecsol-110-033,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,,6.4,,44,Bolthu Hill,,Tested faulty,,15/03/2021,,Active
Elecsol-110-034,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,12.53,4.9,,80,Ballinakill,,Tested faulty,24/08/2021,,Ballinakill,Active
Elecsol-110-035,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,12.6,,,99,Ballygunteen,,Tested faulty,,,,Active
Elecsol-110-036,Elecsol,Carbon Fibre Monoblock,unknown,,110,12.63,,101,39,Ballinakill,,,24/08/2021,15/03/2021,Ballinakill,Active
Elecsol-110-037,Elecsol,Carbon Fibre Monoblock,unknown,,110,12.69,7.1,,62,Recycled,Recycled,,24/08/2021,,,Decommissioned
Elecsol-110-038,Elecsol,Carbon Fibre Monoblock,unknown,Unknown,110,,5.2,,90,Bagenalstown,Removed,,,15/03/2021,,Active
